conf.booktitle,array_1[..3],array_2[..3]
Canadian Conference on AI,[Developing an Expert System Technology for Industrial Process Control: An Experience Report.],[1]
GWAI,"[Verträglichkeitsprüfungen für die Verarbeitung räumlichen Wissens.,Configuration as a Consistency Maintenance Task.]","[1,1]"
PARLE,"[Using Parallelism and Pipeline for the Optimisation of Join Queries.,Parallel Optimisation of Join Queries Using an Enhanced Iterative Improvement Technique.,Dynamic Action SCheduling in a Parallel Database System.]","[1,1,1]"
CIS (2),[Role-Based Access Control for Distributed Cooperation Environment.],[1]
NMR,[Compiling Circumscriptive Theories into Logic Programs.],[1]
TFAIS,"[The New Database Architecture Framework - A Progress Report.,A Tableaux Approach for Consistency Checking.]","[1,1]"
EPIA,[Version Space Algorithms on Hierarchies with Exceptions.],[1]
CRYPTO,"[Untraceable Off-line Cash in Wallets with Observers (Extended Abstract).,Key Distribution Systems Based on Identification Information.,Identity-Based Cryptosystems and Signature Schemes.]","[1,1,1]"
PLILP,"[Short Overview of the CLPS System.,Standard ML of New Jersey.]","[1,1]"
NLDB,[Verification of Conceptual Models based on Linguistic Knowledge.],[1]
IICIS,[Managing Data Quality and Integrity in Federated Databases.],[1]
ICPP (2),"[Parafrase-2: An Environment for Parallelizing Partitioning Synchronizing and Scheduling Programs on Multiprocessors.,Compilation Techiques for Optimizing Communication on Distributed-Memory Systems.]","[1,1]"
"ICMCS, Vol. 2",[Evaluation of Tradeoffs in Resource Management Techniques for Multimedia Storage Servers.],[1]
"TAPSOFT, Vol.1","[Three Approaches to Type Structure.,Why Horn Formulas Matter in Computer Science: Initial Structures and Generic Examples (Extended Abstract).,Algebraization and Integrity Constraints for an Extended Entity-Relationship Approach.]","[1,1,1]"
LISP Conference,"[HOPE: An Experimental Applicative Language.,Extenting Object Oriented Programming in Smalltalk.]","[1,1]"
Symposium on LISP and Functional Programming,"[A Semantic Model of Types for Applicative Languages.,Garbage Collection and Task Deletion in Distributed Applicative Processing Systems.]","[1,1]"
ISAAC,"[Singularities Make Spatial Join Scheduling Hard.,Multispace Search: A New Optimization Approach.]","[1,1]"
"ICPP, Vol. 3",[Synchronization Elimination in the Deposit Model.],[1]
IS/KI,"[Terminological reasoning and Information Management.,Two Languages to Do the Same?]","[1,1]"
SIGCOMM,"[Supporting Real-Time Applications in an Integrated Services Packet Network: Architecture and Mechanism.,Concurrent Online Tracking of Mobile Users.]","[1,1]"
DL,[Administering Structured Documents in Digital Libraries.],[1]
EKAW,"[Knowledge Acquisition for Explainable, Multi-Expert, Knowledge-Based Design Systems.,Model Consruction in MIKE (MOdel-Based and Incremental Knowledge Engineering).,Yet Another Formalisation of KADS Conceptual Models.]","[1,1,1]"
IADT,[Applying the Unbundling Process on Active Database Systems.],[1]
ICTL,[Temporal Query Languages: A Survey.],[1]
East/West Database Workshop,"[On the Semantics of Rules in Database Programming Languages.,F-Bounded Polymorphism for Database Programming Languages.,An Overview of LIFE.]","[1,1,1]"
AI*IA,[A Family of Temporal Terminological Logics.],[1]
Intermediate Representations Workshop,[A Correspondence between Continuation Passing Style and Static Single Assignment Form.],[1]
CPM,"[A Very Fast String Matching Algorithm for Small Alphabeths and Long Patterns (Extended Abstract).,Fast and Practical Approximate String Matching.,Proximity Matching Using Fixed-Queries Trees.]","[1,1,1]"
CODAS,[Active Information Gathering in InfoSleuth.],[1]
IW-MMDBMS,[Multimedia Presentation Servers: Buffer Management and Admission Control.],[1]
MobiCom,[Adaptive Protocols for Information Dissemination in Wireless Sensor Networks.],[1]
ESOP,"[Symbolic Finite Differencing - Part I.,Modal Transition Systems: A Foundation for Three-Valued Program Analysis.,Building a Bridge between Pointer Aliases and Program Dependences.]","[1,1,1]"
EMSOFT,[Reliable and Precise WCET Determination for a Real-Life Processor.],[1]
Objektbanken für Experten,[Survey of the COCOON Project.],[1]
ADBIS,"[A Transaction Model For Handling Composite Events.,Deriving Relationships between Integrity Constraints for Schema Comparison.,Extending Transaction Closures by N-ary Termination Dependencies.]","[1,1,1]"
DAISD,"[Integrity Maintenance Systems: An Architecture.,Deriving Consistency-preserving Transaction Specifications for (View-)Updates in Relational Databases.]","[1,1]"
AADEBUG,[Slicing Concurrent Programs - A Graph-Theoretical Approach.],[1]
ESORICS,[Role Hierarchies and Constraints for Lattice-Based Access Controls.],[1]
HPCA,[Reducing Code Size with Run-Time Decompression.],[1]
IDEAS,"[Transitive Dependencies in Transaction Closures.,Evolving Databases: An Application to Electronic Commerce.,Logical Data Modelling of Spatio Temporal Applications: Definitions and a Model.]","[1,1,1]"
Structure in Complexity Theory Conference,"[Fixpoint Logics, Relational Machines, and Computational Complexity.]",[1]
EUROCRYPT,"[Efficient Concurrent Zero-Knowledge in the Auxiliary String Model.,A Provably Secure Oblivious Transfer Protocol.]","[1,1]"
MMB,"[On Selected Performance Issues of Data Base Systems.,Extended Memory Support for High Performance Transaction Systems.,Quantitative Analyse eines Synchronisationsalgorithmus für DB-Sharing.]","[1,1,1]"
WCLP,[Decision Procedures for Constraint Based Extensions of Datalog.],[1]
PAKDD,[Selective Materialization: An Efficient Method for Spatial Data Cube Construction.],[1]
Code Generation,[Phase Ordering of Register Allocation and Instruction Scheduling.],[1]
ESA,"[Analysis of Shellsort and Related Algorithms.,Finding All the Best Swaps of a Minimum Diameter Spanning Tree under Transient Edge Failures.]","[1,1]"
SODA,"[The P-range Tree: A New Data Structure for Range Searching in Secondary Memory.,Information Retrieval Algorithms: A Survey.,On the Satisfiability and Maximum Satisfiability of Random 3-CNF Formulas.]","[1,1,1]"
ER (Workshops),"[Semantical Change Patterns in the Conceptual Schema.,Schema Versioning for Archives in Database Systems.,ODMG Language Extensions for Generalised Schema Versioning Support.]","[1,1,1]"
ER Workshops,[Temporal Objects for Spatio-Temporal Data Models and a Comparison of Their Representations.],[1]
OOER,"[Reverse Engineering of Relational Database Applications.,Semantics of Time-Varying Attributes and their Use for Temporal Database Design.,Managing Object Identity in Federated Database Systems.]","[1,1,1]"
OOIS,[A Descriptive Language for Information Object Reuse through Virtual Documents.],[1]
DS-3,"[The Role of AI in Databases versus the Role of Database Theory in AI: An Opinion.,Rule Rewriting Methods in the Implementation of the Logic Language LDL.,A Knowledge-Based Approach to Overcome Structural Differences in Object Oriented Database Integration.]","[1,1,1]"
DS-8,"[Searching Distributed and Heterogeneous Digital Media.,Two Data Organizations for Storing Symbolic Images in a Relational Database System.]","[1,1]"
DS-1,[Update Dependencies.],[1]
ICSM,"[Priority based data flow testing.,Change Impact Identification in Object Oriented Software Maintenance.,A Framework for Partial Data Flow Analysis.]","[1,1,1]"
DOLAP,[Methodological Framework for Data Warehouse Design.],[1]
Sprachen für Datenbanken,"[Natürlichsprachlicher Datenbankzugang mit HAM-ANS: Syntaktische Korrepsondenz, natürlichsprachliche Qualifizierung und semantisches Modell des Diskursbereichs.,Die NF]","[1,1]"
Workshop on Database Issues for Data Visualization,[Enhancing the Visual Clustering of Query-Dependent Database Visualization techniques Using Screen-Filling Curves.],[1]
WADS,"[Relaxed Balance through Standard Rotations.,The Buffer Tree: A New Technique for Optimal I/O-Algorithms (Extended Abstract).]","[1,1]"
JELIA,[Deriving Inference Rules for Terminological Logics.],[1]
CSCW,[Access Control for Collaborative Environments.],[1]
"Euro-Par, Vol. I",[Modelling Resource Utilization in Pipelined Query Execution.],[1]
Euro-Par,"[Exploiting Atomic Broadcast in Replicated Databases.,Optimizing Storage Size for Static Control Programs in Automatic Parallelizers.,Exploiting Atomic Broadcast in Replicated Databases (Extended Abstract).]","[1,1,1]"
IWPC,[Slicing Concurrent Java Programs.],[1]
WPC,[Understanding Function Behaviors through Program Slicing.],[1]
SCIE,[Modeling and Querying Semi-structured Data.],[1]
SIGSMALL/SIGMOD Symposium,[Implementing SMART for Minicomputers via Relational Processing with Abstract Data Types.],[1]
Advanced Course: Net Theory and Applications,[Elements of General Net Theory.],[1]
Advanced Course: Fundamentals of Artificial Intelligence,[Fundamental Mechanisms in Machine Learning and Inductive Inference.],[1]
The Data Parallel Programming Model,[Automatic Parallelization in the Polytope Model.],[1]
FASE,[Formal System Development with KIV.],[1]
ARTDB,"[Optimization of Active Rules with Parallelism.,An Algorithm for the Analysis of Termination of Large Trigger Sets in an OODBMS.,Ten Years of Activity in Active Database Systems: What Have We Accomplished?]","[1,1,1]"
CIA,[An Architecture for Transparent Access to Semantically Heterogeneous Information Sources.],[1]
TLCA,[Lambda calculus characterizations of poly-time.],[1]
IBM Symposium: Database Systems of the 90s,"[Language Technology for Post-relational Data Systems.,Database Language Standards: Past, Present, and Future.,Extensibility in the Starburst Experimental Database System.]","[1,1,1]"
PASTE,"[Detecting Memory Errors via Static Pointer Analysis (Preliminary Experience).,Static Slicing of Threaded Programs.]","[1,1]"
ACL,[Automatic Detection of Text Genre.],[1]
ECSQARU,[A Hybrid Approach for Modeling Uncertainty in Terminological Logics.],[1]
Grundlagen von Datenbanken,[Der KIDS-Ansatz zur Implementierung von Datenbankverwaltungssystemen.],[1]
ICCL,[Path Profile Guided Partial Redundancy Elimination Using Speculation.],[1]
SWAT (FOCS),[Linear Pattern Matching Algorithms],[1]
CHDL,[Verification of the Futurebus+ Cache Coherence Protocol.],[1]
ECDL,[Building HyperView Wrappers for Publisher Web-Sites.],[1]
ICAIL,[A Computational Model for Trial Reasoning.],[1]
TACAS,[SLAB: A Certifying Model Checker for Infinite-State Concurrent Systems.],[1]
The MeDoc Approach,[Provider Selection - Design and Implementation of the Medoc Broker.],[1]
FSE,[Real Time Cryptanalysis of A5/1 on a PC.],[1]
EWSL,"[Learning of Qualitative Models.,Case-Based Learning of Strategic Knowledge.,Induction in Noisy Domains.]","[1,1,1]"
ECML,"[Reasoning and Learning in Probabilistic and Possibilistic Networks: An Overview.,Feature Subset Selection in Text-Learning.]","[1,1]"
KBSE,[A Formal Approach to Reusing More General Components.],[1]
ASE,"[UNA Based Iterative Test Data Generation and Its Evaluation.,Generating Test Data for Branch Coverage.]","[1,1]"
ACM Conference on Computer Science,"[Consensus in a Multi-Expert System.,Dynamic Distributed Query Processing Techniques.,A Formal Basis for Schema Analysis of Semantic Database Update Semantics.]","[1,1,1]"
IOPADS,[Tuning the Performance of I/O-Intensive Parallel Applications.],[1]
PDSE,[Multithreaded Dependence Graphs for Concurrent Java Programs.],[1]
AIMSA,[Space Fragmenting - A Method of Disjunctive Concept Acquisition.],[1]
VSTTE,[The Verisoft Approach to Systems Verification.],[1]
AGDM,[Spatial Access Methods and Query Processing in the Object-Oriented GIS GODOT.],[1]
Compcon,[Issues in disaster recovery.],[1]
"Workshop on Programming with Logic Databases (Informal Proceedings), ILPS","[LogicBase: A System Prototype for Deductive Query Evaluation.,The XSB Programming System.,MIMSY: A System for Analyzing Time Series Data in the Stock Market Domain.]","[1,1,1]"
Workshop on Deductive Databases and Logic Programming,"[A Deductive Database Solution to the Preferential Vote Counting Problem.,A Simple Model for Active Rules and their Behavior in Deductive Databases.,Constraint-Based Reasoning in Geographic Databases: the Case of Symbolic Arrays.]","[1,1,1]"
ISSTA,"[Which pointer analysis should I use?,Slicing concurrent programs.,Putting static analysis to work for verification: A case study.]","[1,1,1]"
META,[A Simple Formulation of the Theory of Metalogic Programming.],[1]
AII,[Background Knowledge and Declarative Bias in Inductive Concept Learning.],[1]
CAAP,"[Acyclic Database Schemes (of Various Degrees): A Painless Introduction.,Trees as Data and File Structures.,Computable Directory Queries.]","[1,1,1]"
VDM Europe (1),[An Executable Subset of Meta-IV with Loose Specification.],[1]
LPAR,"[MegaLog - A Platform for Developing Knowledge Base Management Systems.,Towards Probabilistic Knowledge Bases.]","[1,1]"
LCC,[A Restricted Second Order Logic for Finite Structures.],[1]
CSL,"[Generalizing Allowedness While Retaining Completeness of SLDNF-Resolution.,Using Finite-Linear Temporal Logic for Specifying Database Dynamics.,Inductive Definability with Counting on Finite Structures.]","[1,1,1]"
ATAL,"[Is it an Agent, or Just a Program?: A Taxonomy for Autonomous Agents.]",[1]
WCRE,"[Design Recovery for Software Testing of Object-Oriented Programs.,Strongest Postcondition Semantics as the Formal Basis for Reverse Engineering.]","[1,1]"
CAV,"[Synchronous Programming of Reactive Systems.,Verification of Certifying Computations.]","[1,1]"
FCT,"[The Consensus Problem in Unreliable Distributed Systems (A Brief Survey).,Analysis of Compact 0-Complete Trees: A New Access Method to Large Databases.,An Extended Framework for Default Reasoning.]","[1,1,1]"
AMAST,[Specifying Type Systems with Multi-Level Order-Sorted Algebra.],[1]
PDK,"[A Terminological Knowledge Representation System with Complete Inference Algorithms.,Subsumption Computation on an Object-Oriented Data Model.]","[1,1]"
Winter Simulation Conference,[SimPack: Getting Started with Simulation Programming in C and C++.],[1]
RTDB,"[An Update-Frequency-Valid-Interval Partition Checkpoint Technique for Real-Time Main Memory Databases.,A Logging Technique Based on Transaction Types in Real-Time Databases.]","[1,1]"
REX Workshop,"[Timed CSP: Theory and Practice.,A Proof System for the Language POOL.,Logics and Models of Real Time: A Survey.]","[1,1,1]"
IEEE PACT,"[Region Formation Analysis with Demand-Driven Inlining for Region-Based Optimization.,Optimistic Register Coalescing.,Path Profile Guided Partial Dead Code Elimation Using Predication.]","[1,1,1]"
AWOC,[Converting Affine Recurrence Equations to Quasi-Uniform Recurrence Equations.],[1]
CHES,[Physical Security Devices for Computer Subsystems: A Survey of Attacks and Defences.],[1]
Australian Database Conference,"[Storage Management for Files of Dynamic Records.,Querying Heterogeneous Databases: A Case Study.,Towards a General Theory for the Evolution of Application Domains.]","[1,1,1]"
CAIVD,[Automatic Classification of Tennis Video for High-Level Content-Based Retrieval.],[1]
ICCS,"[Characterization and Algorithmic Recognition of Canonical Conceptual Graphs.,UDS: A Universal Data Structure.]","[1,1]"
IFIP Congress (3),"[Knowledge Base Management Systems using Description Logics and Their Role in Software Information Systems.,Object-Oriented System Development: Will the New Approach Solve Old Problems?]","[1,1]"
IFIP Congress (1),"[Automatic computation of data set definitions.,Exposing Side-Effects in a PL/I Optimizing Compiler.]","[1,1]"
Trends in Distributed Systems for Electronic Commerce,[OFFER: A Broker-Centered Object Framework For Electronic Requisitioning.],[1]
Wissensbasierte Systeme,"[Knowledge Reperesentation as the Basis for Requirements Specification (Reprint).,Database Technology for Expert Systems.]","[1,1]"
IJCAR,[On Hierarchical Reasoning in Combinations of Theories.],[1]
COLT,"[On Learning in the Limit and Non-Uniform (epsilon, delta)-Learning.,Learning and Robust Learning of Product Distributions.,Rigorous Learning Curve Bounds from Statistical Mechanics.]","[1,1,1]"
CONPAR,[Use of Inherent Parallelism in Database Operations.],[1]
NGITS,"[OLOG: A Deductive Object Database Language.,Tracking Moving Objects Using Database Technology in DOMINO.,e-Colabra: An Enterprise Collaboration & Reuse Environment.]","[1,1,1]"
INFOCOM,"[On Deadlock Detection in Distributed Computing Systems.,Deriving Optimal Semi-Join Programs for Distributed Query Processing.,A Fast Algorithm for Computing Availability in Networks with Dependent Failures.]","[1,1,1]"
"Advances in Algorithms, Languages, and Complexity",[Relaxed Balancing in Search Trees.],[1]
VL,"[A Graphical Query Language for Object Oriented Databases.,Visual Image Retrieval by Elastic Deformation of Object Sketches.]","[1,1]"
Computational Logic - Essays in Honor of Alan Robinson,"[Bottom-Up Evaluation of Logic Programs.,Unification and ML-Type Reconstruction.]","[1,1]"
Theoretical Studies in Computer Science,[Expressive Power of Query Languages.],[1]
Computation Theory and Logic,[Skolem Normal Forms Concerning the Least Fixpoint.],[1]
Föderierte Datenbanken,[Ansätze zur Generierung von Dateibeschreibungen.],[1]
IEA/AIE (Vol. 2),"[Recognition of Semantically Incorrect Rules: A Neural-Network Approach.,Understanding Text with an Accompanying Diagram.,PAMELA: A Rule-Based AI Language for Process-Control Applications.]","[1,1,1]"
IEA/AIE,"[Design Efficient Local Search Algorithms.,Structural Testing Strategies Applied to Knowledge-Based Systems.]","[1,1]"
WDAG,"[Revistiting the Relationship Between Non-Blocking Atomic Commitment and Consensus.,Simulating Reliable Links with Unreliable Links in the Presence of Process Crashes.,Distributed Deadlock Detection and Resolution with Probes.]","[1,1,1]"
SIGSOFT FSE,"[Specification Matching of Software Components.,A New Model of Program Dependences for Reverse Engineering.,Automated Test Data Generation Using an Iterative Relaxation Method.]","[1,1,1]"
Compiler Optimizations for Scalable Parallel Systems Languages,[Advanced Code Generation for High Performance Fortran.],[1]
LCTES,[Non-local Instruction Scheduling with Limited Code Growth.],[1]
RTA,"[Automated Termination Proofs with AProVE.,Modular Termination Proofs of Recursive Java Bytecode Programs by Term Rewriting.,Termination.]","[1,1,1]"
GI Jahrestagung (1),[Hintergrundspeicherstrukturen für ausgedehnte Objekte.],[1]
Text Understanding in LILOG,"[Attribute Description Formalisms ... and the Rest of the World.,Introducing LILOG.,Representing Word Meanings.]","[1,1,1]"
SWEE,[The Future of Classic Data Administration: Objects + Databases + CASE],[1]
